#;Nome;Fuori lista;Sq.;Under;R.;R.MANTRA;PGv;MV;FM;FVM/1000;QUOT.;FantaSquadra;Costo
4409;Rrahmani;;Napoli;31;D;Dc;11;6,18;6,41;42;11;Spezzacaviglie  FC;14
4923;Colombo;;Genoa;23;A;Pc;18;5,81;6,33;41;11;Eintracht Piangoforte;9
6908;Atta;;Udinese;22;C;C;14;6,46;6,75;41;16;Hoffenaimer;3
2765;Odgaard;;Bologna;26;C;T/A;12;6;6,79;41;18;ASTRO NZONZI;17
6060;Laurientè;;Sassuolo;27;A;A;18;6,06;6,69;40;20;LAMINCHIADURA;7
6884;Conceicao;;Juventus;23;C;W/A;14;6,18;6,57;40;15;Eintracht Piangoforte;79
6365;Ferguson E.;;Roma;21;A;Pc;13;6,15;6,96;39;16;BREAKING BET;104
4976;Kalulu;;Juventus;25;D;Dd/Dc;19;6,13;6,32;39;12;Herta Vernello;4
6646;Adams C.;;Torino;29;A;A;17;6,03;6,62;38;17;;
5022;Pavlovic;;Milan;24;D;Dc;17;6,24;6,53;38;16;Betis Pinilla;1
6956;Solet;;Udinese;25;D;Dc;19;5,97;6,08;37;11;Hoffenaimer;14
6398;Isaksen;;Lazio;24;C;W/A;11;6,09;6,64;36;14;Spezzacaviglie  FC;24
2296;Mancini;;Roma;29;D;Dc;18;6,08;6;36;10;Spezzacaviglie  FC;27
7133;Vandeputte;;Cremonese;29;C;W/T;18;6,14;6,33;35;14;BREAKING BET;28
5844;Thorstvedt;;Sassuolo;26;C;C/T;15;6,1;6,4;35;12;Betis Pinilla;15
2134;Falcone;;Lecce;30;P;Por;18;6,39;5,28;35;15;Spezzacaviglie  FC;9
7314;Taylor K.;;Lazio;23;C;C/T;0;0;0;34;14;;
6717;Konè I.;;Sassuolo;23;C;M/C;17;6,12;6,56;34;16;BREAKING BET;1
6552;Orban G.;;Verona;23;A;Pc;15;6;6,93;33;18;Betis Pinilla;16
5792;Ederson D.S.;;Atalanta;26;C;M/C;15;6;5,97;33;9;LAMINCHIADURA;8
4427;Malinovskyi;;Genoa;32;C;C/T;17;6;6,29;33;12;Herta Vernello;1
779;Cristante;;Roma;30;C;M/C;19;6,11;6,13;33;12;Spezzacaviglie  FC;6
5513;Dumfries;;Inter;29;D;E;11;6;6,23;32;10;LAMINCHIADURA;19
7162;Giovane;;Verona;22;A;A;18;6,06;6,72;31;17;BREAKING BET;1
4436;Cambiaghi;;Bologna;25;A;A;16;6,09;6,62;31;17;;
4751;Tomori;;Milan;28;D;Dc;15;6;5,93;31;7;Salisburro;12
2593;Martin;;Genoa;28;D;Ds/E;15;6,07;6,4;31;13;Herta Vernello;15
441;Belotti;;Cagliari;32;A;Pc;3;6,33;8,33;30;8;Chi vuol essere paraguaiano;2
6666;Bernabè;;Parma;24;C;C;18;6,14;6,47;30;16;BREAKING BET;19
4686;Fofana Y.;;Milan;26;C;M/C;16;5,88;6,03;30;10;Salisburro;2
152;Zielinski;;Inter;31;C;C/T;11;6,32;6,95;30;16;;
6496;Bartesaghi;;Milan;20;D;Ds/E;14;6,21;6,61;30;14;;
5504;Coulibaly L.;;Lecce;29;C;M/C;14;6,07;6,39;29;12;Eintracht Piangoforte;2
333;Cataldi;;Lazio;31;C;M/C;17;6,09;6,44;29;13;LAMINCHIADURA;1
22;De Roon;;Atalanta;34;C;M/C;16;6,06;5,94;29;8;Spezzacaviglie  FC;8
7146;Tourè I.;;Pisa;27;C;E/M;17;5,97;6,06;28;10;Hoffenaimer;5
530;Pellegrini Lo.;;Roma;29;C;C/T;12;6,12;6,58;28;15;Betis Pinilla;1
7071;Esposito F.P.;;Inter;20;A;Pc;14;6,25;6,57;27;16;ASTRO NZONZI;11
5544;David;;Juventus;25;A;Pc;15;5,7;6,03;27;13;Herta Vernello;90
505;Bonazzoli;;Cremonese;28;A;A;16;6,34;7,34;27;20;;
6015;Berisha M.;;Lecce;22;C;C/T;12;6,17;6,92;27;14;;
7220;Belghali;;Verona;23;D;Dd/E;15;6,3;6,53;27;12;;
6164;Vitinha O.;;Genoa;25;A;Pc;15;5,9;6,3;26;12;;
4728;Nkunku;;Milan;28;A;A;11;5,86;6,59;26;14;Salisburro;54
536;Politano;;Napoli;32;C;W;17;6,09;6,24;26;12;LAMINCHIADURA;16
4665;Maripan;;Torino;31;D;Dc;18;6,03;6,17;26;11;Chi vuol essere paraguaiano;3
7129;Rodriguez Je.;;Como;20;A;W/A;14;6,07;6,32;25;11;Herta Vernello;10
5674;Basic;;Lazio;29;C;C;13;6,19;6,5;25;14;;
4973;McKennie;;Juventus;27;C;M/C;16;6,09;6,31;25;11;;
4287;Lobotka;;Napoli;31;C;M/C;13;6,08;6,04;25;8;LAMINCHIADURA;13
4177;Pavard;*;Inter;29;D;Dd/Dc;1;6,5;6,5;25;9;;
2724;Buongiorno;;Napoli;26;D;Dc;14;6,07;6,11;25;11;Herta Vernello;21
6669;Bonny;;Inter;22;A;Pc;10;6,4;7,9;24;14;LAMINCHIADURA;13
6435;Krstovic;;Atalanta;25;A;Pc;14;5,93;6,96;24;18;Hoffenaimer;13
2528;Matic;;Sassuolo;37;C;M/C;18;6,08;6,17;24;11;Spezzacaviglie  FC;6
6869;Ramon;;Como;20;D;Dc;16;6,25;6,41;24;13;BREAKING BET;5
6217;Bisseck;;Inter;25;D;Dc;8;6,25;6,5;24;11;Spezzacaviglie  FC;1
5877;Carlos Augusto;;Inter;26;D;B/Ds/E;13;6,23;6,46;24;14;ASTRO NZONZI;12
5835;Baschirotto;;Cremonese;29;D;Dc;19;6;6,29;24;14;Spezzacaviglie  FC;4
5750;Ostigard;;Genoa;26;D;Dc;14;6;6,5;24;13;Herta Vernello;2
460;Romagnoli;;Lazio;30;D;Dc;17;6,09;6;24;9;BREAKING BET;11
5888;Casadei;;Torino;22;C;C/T;17;5,88;6,09;23;8;Chi vuol essere paraguaiano;20
4947;Brescianini;;Fiorentina;25;C;C/T;4;6,25;6,88;23;6;Eintracht Piangoforte;5
6664;Delprato;;Parma;26;D;B/Dd/E;17;5,91;6;23;8;ASTRO NZONZI;15
4317;N'Dicka;;Roma;26;D;Dc;15;5,97;5,87;23;6;Salisburro;19
2640;Kolasinac;;Atalanta;32;D;B/Ds/E;5;6,2;6,1;23;5;;
7127;Addai;;Como;20;A;W/A;10;6,05;6,8;22;13;LAMINCHIADURA;3
7120;Lang;;Napoli;26;A;A;11;6,09;6,36;22;14;Chi vuol essere paraguaiano;26
6680;Karlstrom;;Udinese;30;C;M/C;19;5,92;5,97;22;9;BREAKING BET;1
5992;Bondo;;Cremonese;22;C;M/C;18;5,92;5,81;22;6;;
5791;Frendrup;;Genoa;24;C;M/C;18;5,92;5,86;22;8;Salisburro;10
5735;Volpato;;Sassuolo;22;C;W/T;12;6,25;6,75;22;14;;
4486;Strefezza;*;Como;28;C;W;0;0;0;22;13;;
2839;Sottil;;Lecce;26;C;W/A;12;6;6,29;22;11;;
7212;Heggem;;Bologna;26;D;Ds/Dc;15;5,93;5,87;22;8;Herta Vernello;9
5678;Holm;;Bologna;25;D;Dd/E;8;6,25;7;22;14;;
4360;Caprile;;Cagliari;24;P;Por;19;6,37;4,92;22;12;Salisburro;9
5500;Cancellieri;;Lazio;23;A;W/A;12;6,17;6,79;21;13;Eintracht Piangoforte;1
7070;Sucic P.;;Inter;22;C;C;14;6,07;6,32;21;13;ASTRO NZONZI;6
5559;Da Cunha;;Como;24;C;C/W/T;16;6,09;6,22;21;11;ASTRO NZONZI;25
788;Freuler;;Bologna;33;C;M/C;10;6,05;5,95;21;6;Hoffenaimer;1
5862;Valeri;;Parma;27;D;Ds/E;14;6,04;6,04;21;9;Eintracht Piangoforte;6
5833;Gila;;Lazio;25;D;Dc;18;5,97;5,86;21;8;LAMINCHIADURA;13
5812;Terracciano F.;;Cremonese;22;D;Dd/Ds/E;18;6,08;6,33;21;13;Hoffenaimer;1
